Id	DR	L	WP	W	SL	SW	P
HMED101_02	2.08	8.04	6.44	5.51	NaN	NaN	1
HMED101_03	2.36	9.29	5.17	7.2	2.29	2.47	1
HMED101_04	2.5	8.91	4.87	7.65	NaN	NaN	1
HMED101_05	2.11	8.09	4.39	6.06	NaN	NaN	1
HMED101_06	2.88	9.32	5.35	8.47	NaN	NaN	2
HMED101_07	2.26	8.56	4.94	7.28	NaN	NaN	1
HMED101_08	2.18	8.12	4.65	6.57	NaN	NaN	1
HMED101_09	2.3	8.73	5.05	8.08	NaN	NaN	2
HMED101_10	2.35	9.08	3.59	7.36	NaN	NaN	1
HMED201_01	2.51	10.16	5.45	7.35	2.21	2.68	1
HMED201_02	2.72	10.61	6.04	7.93	2.73	2.93	1
HMED201_03	2.52	9.9	4.91	7.6	2.54	3.15	1
HMED201_04	2.59	11.86	6.63	8.15	2.7	2.93	1
HMED201_05	2.53	10.61	5.7	7.57	NaN	NaN	1
HMED201_06	2.36	10.75	6.15	7.9	NaN	NaN	1
HMED201_07	2.55	12.27	7.15	8.22	NaN	NaN	1
HMED201_08	2.38	10.9	6.88	7.75	NaN	NaN	1
HMED201_09	2.79	10.72	6.51	7.45	NaN	NaN	1
HMED201_10	2.08	11.38	6.26	8.51	2.37	2.26	1
HMED202_01	2.67	8.99	4.4	7.48	2.09	2.55	1
HMED202_02	2.4	9.43	4.5	6.61	2.7	2.64	1
HMED202_03	2.78	9.6	5.14	7.41	2.09	2.67	1
HMED202_04	2.21	7.09	3.76	6.67	2.49	2.23	1
HMED202_05	2.11	7.65	4.18	6.27	1.88	2.55	1
HMED202_06	2.39	7.26	4.95	6.64	2.32	2.85	1
HMED202_07	2.29	8.34	4.64	6.74	1.81	2.42	1
HMED202_08	2.83	7.6	4.07	6.55	2.51	3.08	1
HMED202_09	2.53	9.03	4.58	7.94	2.17	2.96	2
HMED202_10	2.65	7.74	4.45	7.31	2.52	2.76	1
HMED204_01	2.95	8.86	5.01	8.39	NaN	NaN	1
HMED204_02	2.69	8.92	5.41	8.12	2.17	3.06	1
HMED204_03	2.81	10.91	5.36	8.29	2.52	2.83	1
HMED204_04	2.68	10.18	5.01	8.42	2.07	2.35	1
HMED204_05	2.27	8.59	5.8	8.13	NaN	NaN	1
HMED204_06	2.5	9.53	5.15	7.61	2.4	2.56	1
HMED204_07	2.67	9.51	5.19	8.21	NaN	NaN	1
HMED204_08	2.52	10.22	5.95	8.28	NaN	NaN	1
HMED204_09	3.08	10.32	5.46	9.05	3.06	3.39	1
HMED204_10	2.89	10.45	5.66	8.24	2.67	3.11	1
HMED205_01	2.7	9.43	4.94	8.37	NaN	NaN	1
HMED205_02	2.61	9.35	5.68	8.02	NaN	NaN	1
HMED205_03	2.62	9.69	5.16	8.63	2.59	2.79	1
HMED205_04	2.88	10.03	5.04	8.63	NaN	NaN	1
HMED205_05	2.55	NaN	NaN	NaN	NaN	NaN	1
HMED205_06	2.56	8.7	5.01	7.06	2.11	2.89	1
HMED205_07	2.55	9.29	4.97	7.1	NaN	NaN	1
HMED205_08	2.6	10.07	5.25	8.37	NaN	NaN	2
HMED205_09	2.36	8.7	4.58	7.43	NaN	NaN	1
HMED205_10	2.65	9.06	4.79	7.9	NaN	NaN	1
HMED206_01	3.53	10.05	4.09	8.77	NaN	NaN	2
HMED206_02	3.45	10.16	5.64	8.45	2.55	3.99	1
HMED206_03	3.35	10.16	4.68	8.56	2.93	4.16	1
HMED206_04	2.82	9.2	4.09	8.7	2.91	3.71	1
HMED206_05	2.96	10.61	4.86	9.26	2.24	3.04	1
HMED206_06	3.28	8.91	4.12	8.36	2.33	3.57	1
HMED206_07	2.88	9.11	4.23	8.89	2.45	3.06	1
HMED206_08	3.19	9.22	4.64	8.95	NaN	NaN	2
HMED206_09	3.29	9.79	4.31	9.21	2.33	2.37	1
HMED206_10	3.5	8.24	4	10.57	NaN	NaN	2
HMED207_01	1.6	8.67	5.34	7.43	NaN	NaN	1
HMED207_02	2.4	8.71	5.46	7.34	NaN	NaN	1
HMED207_03	1.97	8.89	5.03	7.07	2.22	2.97	1
HMED207_04	1.99	6	3.03	6.46	2.65	2.62	1
HMED207_05	2.26	8.54	4.61	7.1	2.54	3.04	1
HMED207_06	2.09	8.26	4.69	6.78	NaN	NaN	1
HMED207_07	2.24	8.19	4.91	6.73	2.42	3.26	1
HMED207_08	2	6.94	3.81	5.69	NaN	NaN	1
HMED208_01	2.57	9.48	5.12	8.77	NaN	NaN	2
HMED208_02	2.64	8.93	4.46	8.58	NaN	NaN	2
HMED208_03	2.48	8.37	5.1	7.55	2.34	3.03	1
HMED208_04	2.85	8.75	5.13	8.98	1.82	3.56	2
HMED208_05	2.58	8.8	4.69	7.81	NaN	NaN	1
HMED208_06	2.54	8.02	4.27	7.68	1.82	2.89	1
HMED208_07	2.77	8.31	4.2	8.7	NaN	NaN	2
HMED208_08	2.35	8.84	5.51	8.41	NaN	NaN	2
HMED208_09	2.38	8.82	5.09	8.73	NaN	NaN	2
HMED208_10	2.75	9.39	5.76	8.47	NaN	NaN	1
HMED210_01	3.06	9.43	4.53	8.95	NaN	NaN	2
HMED210_02	2.86	8.47	4.02	8.35	1.85	2.77	2
HMED210_03	2.65	7.85	3.96	7.83	NaN	NaN	1
HMED210_04	2.91	8.91	4.31	8.36	1.62	3.66	2
HMED210_05	2.57	8.57	4.48	8.35	1.61	2.79	2
HMED210_06	2.69	7.73	4.4	7.87	2.08	2.18	2
HMED210_07	2.81	7.95	4.05	8.42	1.94	3.08	2
HMED210_08	2.78	8.8	3.59	7.7	NaN	NaN	2
HMED210_09	2.72	7.73	3.69	7.78	NaN	NaN	2
HMED210_10	2.69	8.8	4.36	9.11	NaN	NaN	2
HMED301_01	2.27	9.03	4.13	8.55	1.69	3.26	1
HMED301_02	2.29	8.3	3.99	7.81	1.91	2.32	1
HMED301_03	2.38	10.04	5.69	9.01	1.57	2.56	1
HMED301_04	2.57	8.74	3.94	9.18	NaN	NaN	1
HMED301_05	2.37	9.43	4.89	8.44	2.1	2.8	1
HMED301_06	2.26	9.27	4.71	8.49	1.52	2.54	1
HMED301_07	2.64	9.8	5.45	8.71	1.66	2.67	2
HMED301_08	2.49	9.39	4.92	7.6	1.56	3.59	1
HMED301_09	2.09	8.77	5.08	7.11	1.65	2.48	1
HMED301_10	2.3	8.6	4.76	8.19	1.93	3.2	1
HS001_01	2.17	10.11	6.73	8.42	NaN	NaN	1
HS001_02	2.07	9.89	4.84	8.18	NaN	NaN	1
HS001_03	1.93	8.66	4.45	7.18	NaN	NaN	1
HS001_04	2.32	9.15	4.51	7.86	NaN	NaN	1
HS001_05	2.47	9.19	3.99	7.95	NaN	NaN	1
HS001_06	2.51	9.7	4.05	7.07	1.79	2.31	1
HS001_07	2.54	10.44	4.91	8.17	NaN	NaN	2
HS001_08	2.51	9.52	5.58	8.23	NaN	NaN	1
HS001_09	2.41	9.41	4.97	7.83	NaN	NaN	1
HS001_10	2.44	9.61	4.67	7.77	NaN	NaN	1
HS101_01	2.89	9.68	6.06	7.96	NaN	NaN	1
HS101_02	3.01	9.16	5.02	6.89	2.77	1.98	1
HS101_03	2.79	9.24	5.01	8.43	3.28	1.55	1
HS101_04	3.1	9.99	4.85	9.18	4.09	1.7	1
HS101_05	2.59	6.56	3.9	6.19	NaN	NaN	1
HS102_01	2.59	9.93	5.6	6.83	3.31	2.47	NaN
HS102_02	2.74	9.06	4.57	6.89	NaN	NaN	NaN
HS102_03	2.86	10.24	4.69	7.21	3.77	2.17	NaN
HS102_04	2.89	9.26	6.66	8.05	NaN	NaN	NaN
L001_01	3.4	10.23	6.21	10.29	NaN	NaN	3
L001_02	3.06	9.38	5.7	9.31	1.67	2.53	2
L001_03	3.15	10.33	5.35	8.44	1.68	2.35	2
L001_04	2.68	9.44	5.84	7.86	1.77	2.08	2
L001_05	2.98	10.32	5.45	9.81	NaN	NaN	2
L001_06	2.87	9.23	5.33	7.67	2.18	2.92	2
L001_07	2.4	10.15	4.55	8.42	NaN	NaN	2
L001_08	3.17	10.15	5.99	10.13	NaN	NaN	2
L002_01	3.3	8.12	3.83	8.16	2.09	3.39	2
L002_02	3.13	8.15	4.26	9.4	2.13	3.25	2
L002_03	2.98	8.7	4.42	8.93	2.44	3.98	2
L002_04	3.17	7.95	4.71	8.04	2.27	3.47	2
L002_05	3.24	9.44	5.06	8.98	2.02	3.21	2
L002_06	3.48	9.68	5.43	9.29	NaN	NaN	2
L002_07	3.43	9.72	4.85	8.91	2.03	3.35	2
L002_08	3.36	9.94	5.47	9.38	1.92	3.24	2
L002_09	2.95	8.96	5.14	8.45	2.11	2.93	1
L002_10	3.06	9.78	4.73	9.46	2.45	3.47	2
L003_01	2.85	8.44	4.97	8.3	NaN	NaN	2
L003_02	2.8	9.44	5.38	9.11	1.87	2.53	2
L004_01	2.9	10.38	5.11	8.45	NaN	NaN	2
L004_02	3.23	10.26	5.58	8.68	NaN	NaN	2
L004_03	2.73	9.71	5.47	8.46	NaN	NaN	2
L004_04	2.89	8.66	4.32	6.92	NaN	NaN	2
L004_05	2.87	9.42	5.12	7.73	1.54	2.09	2
L004_06	2.55	8.39	4.52	7.63	NaN	NaN	2
L004_07	2.85	9.1	5.01	7.97	NaN	NaN	2
L004_08	2.54	9.76	5.68	7.57	1.66	2.01	2
L004_09	2.99	9.93	5.85	9	NaN	NaN	2
L004_10	3.01	10.09	5.38	8.33	NaN	NaN	3
L005_01	2.27	7.9	5.57	6.74	NaN	NaN	1
L005_02	2.56	8.99	5.07	7.8	NaN	NaN	2
L005_03	2.4	6.81	4.44	6.49	1.75	2.75	2
L005_04	2.41	8.37	5.46	8.2	NaN	NaN	2
L005_05	2.24	8.39	3.88	7.61	NaN	NaN	2
L005_06	2.82	8.2	4.23	8.17	NaN	NaN	2
L005_07	2.25	8.51	5.02	7.03	NaN	NaN	2
L005_08	2.68	7.56	3.67	8.21	NaN	NaN	2
L005_09	2.34	8.38	5.46	8.36	NaN	NaN	2
L005_10	2.23	7.32	4.85	7.03	NaN	NaN	1
L006_01	3.21	11.09	5.42	8.6	1.64	2.82	2
L006_02	2.99	9.79	5.56	8.29	1.56	2.79	2
L006_03	2.89	10.04	5.23	8.31	NaN	NaN	2
L006_04	3.07	9.89	6.05	8.31	1.6	3.41	2
L006_05	3.01	8.95	4.86	8.04	1.9	3.54	2
L006_06	2.68	8.66	4.64	8.07	1.69	2.96	2
L006_07	2.89	9.7	6.01	8.72	1.62	2.81	2
L006_08	3.43	11.25	6.54	8.27	1.84	2.92	2
L006_09	3.01	9.45	4.93	7.57	1.59	4.06	2
L006_10	2.85	10.38	5.28	8.21	1.65	2.44	2
L007_01	2.78	8.98	4.72	7.78	2.43	3.3	2
L007_02	2.56	9.08	4.34	7.93	NaN	NaN	2
L007_03	2.96	9.82	5.55	8.66	2.44	2.04	2
L007_04	2.94	8.6	3.53	8.32	NaN	NaN	2
L007_05	3.26	9.24	5.2	8.33	NaN	NaN	2
L007_06	2.92	8.57	5.66	8.11	NaN	NaN	2
L007_07	2.87	10.13	5.39	8.42	NaN	NaN	2
L007_08	3.01	9.02	5.51	7.72	NaN	NaN	2
L007_09	3.28	9.88	5.6	9.21	2.57	2.53	3
L007_10	2.95	9.58	4.71	8.66	NaN	NaN	2
L009_01	2.47	9.95	5.12	9.6	NaN	NaN	2
L009_02	2.17	9.76	5.82	8.5	NaN	NaN	2
L009_03	3.2	10.66	4.97	10.21	NaN	NaN	2
L010_01	3.22	11.6	6.46	10.07	NaN	NaN	2
L010_02	3.36	10.46	5.74	10.02	NaN	NaN	2
L010_03	2.79	8.71	5.5	6.81	NaN	NaN	2
L011_01	2.46	7.6	4.37	8.11	1.95	2.74	2
L011_02	2.5	7.73	4.52	8.57	NaN	NaN	2
L011_03	2.59	8.73	5.53	8.64	1.85	2.45	2
L011_04	2.56	7.07	4.16	7.18	1.86	2.33	2
L011_05	2.44	8.41	4.91	8.67	1.7	2.44	2
L011_06	2.95	8.63	5.9	8.46	1.98	2.76	2
L011_07	2.75	8.15	4.24	8.96	NaN	NaN	2
L011_08	2.7	7.71	4.77	8.23	NaN	NaN	2
L011_09	2.94	8.58	4.63	8.89	NaN	NaN	2
L101_01	3.03	8.49	5.43	8.5	2.07	2.51	2
L101_02	2.99	9.27	5.05	9.23	NaN	NaN	3
L101_03	3.18	8.84	4.55	8.82	1.87	2.25	3
L101_04	2.56	7.69	3.41	7.76	NaN	NaN	2
L101_05	2.91	8.94	5.84	7.86	NaN	NaN	2
L101_06	3.1	8.38	4.72	8.28	NaN	NaN	2
L101_07	2.84	8.58	4.48	9.61	1.97	2.53	2
L101_08	2.95	9.22	4.15	8.06	NaN	NaN	2
L101_09	2.83	7.18	3.41	7.98	NaN	NaN	3
L102_01	2.37	9.89	5.07	8.25	NaN	NaN	2
L103_01	3.13	9.93	4.78	9.49	2.14	1.97	3
L103_02	2.72	8.99	4.58	7.97	NaN	NaN	3
L103_03	2.54	9.71	4.51	8.64	NaN	NaN	2
L104_01	2.28	7.89	4.73	6.51	1.38	1.62	2
L104_02	2.25	8.2	4.07	7.05	1.54	1.69	2
L104_03	2.18	8.58	4.34	7.27	NaN	NaN	2
L104_04	2.22	7.71	3.12	6.12	1.5	1.78	2
L104_05	2.78	7.84	4.43	6.85	NaN	NaN	2
L104_06	2.21	7.95	4.78	6.56	1.3	1.8	2
L104_07	2.14	9.41	5.28	7.71	1.45	1.63	2
L104_08	2.77	7.07	4.53	7.04	NaN	NaN	2
L104_09	2.4	8.66	4.58	7.39	1.49	1.4	2
L104_10	2.44	8.46	4.59	7.69	NaN	NaN	2
L107_01	2.97	8.94	4.56	7.51	1.99	2.57	NaN
L107_02	3.24	9.09	4.53	8.57	2.07	2.44	NaN
L107_03	3.17	9.55	4.76	8.08	2.03	2.58	NaN
L107_04	3.13	9.66	4.25	8.18	1.94	2.86	NaN
L107_05	2.75	8.91	4.56	7.59	NaN	NaN	NaN
L107_06	2.94	9.29	4.71	7.58	NaN	NaN	NaN
L108_01	2.34	9.21	3.87	8.17	1.64	1.99	2
L108_02	2.35	8.54	4.35	8.07	1.7	2.19	2
L108_03	2.37	7.74	3.78	7.4	1.99	2.28	1
L108_04	2.73	8.64	5.77	8.76	NaN	NaN	2
L108_05	2.67	8.31	4.55	7.97	NaN	NaN	2
L108_06	2.48	8.07	5.26	7.64	NaN	NaN	2
L109_01	2.75	10	5.22	7.76	NaN	NaN	1
L109_02	2.99	9.26	4.95	8.01	NaN	NaN	2
L109_03	2.95	9.33	6.27	7.1	NaN	NaN	2
L109_04	2.86	9.53	5.32	8.59	1.89	2.61	2
L109_05	3.21	10.2	5.4	8.73	NaN	NaN	2
L109_06	3.05	9.74	4.68	8.08	NaN	NaN	2
L109_07	2.68	9.53	5.34	7.93	NaN	NaN	1
L109_08	3.11	9.92	4.8	9.48	NaN	NaN	2
L109_09	2.64	8.53	4.72	7.75	NaN	NaN	2
L201_01	3.1	10.27	5.4	9.2	NaN	NaN	2
L201_02	3.23	11.33	5.81	9.63	2.23	3.73	2
L201_03	3.21	9.37	6.39	9.61	NaN	NaN	2
L201_04	3.16	9.46	6.2	9.27	NaN	NaN	2
L201_05	3.31	9.35	5.95	7.93	NaN	NaN	2
L201_06	3.13	9.51	4.63	8.95	2.01	2.94	2
L201_07	3.07	9.8	3.96	9.18	1.9	2.4	2
L201_08	3.23	9.74	5.45	9.16	2.03	3.67	2
L201_09	3.31	9.45	6.18	8.72	NaN	NaN	2
L201_10	3.25	9.17	5.82	8.06	1.7	3	2
L202_01	3.1	9.17	4.83	9.14	1.85	1.72	2
L202_02	3.06	9.83	4.82	9.4	1.94	1.82	2
L202_03	2.97	9.61	4.74	8.31	1.75	2.47	2
L202_04	2.76	8.49	4.8	8.4	NaN	NaN	2
L202_05	2.71	8.17	4.43	7.77	NaN	NaN	2
L202_06	3.17	8.91	4.81	9.14	1.78	1.76	2
L202_07	3.3	8.51	4.15	8.12	1.75	1.52	2
L202_08	3.1	8.86	4.31	8.06	2.24	2.57	2
L202_09	3.5	8.73	3.92	9.35	1.94	1.89	2
L202_10	3.04	8.3	3.97	8.06	NaN	NaN	2
L203_01	2.43	8.07	4.68	7.12	NaN	NaN	2
L203_02	2.53	9.1	4.83	8.31	2.05	3.71	3
L203_03	2.57	8.23	4.22	7.7	2.83	3.31	2
L203_04	2.09	7.79	4.87	6.7	NaN	NaN	1
L203_05	2.33	8.2	4.58	7.96	2.41	3.07	2
L203_06	2.15	9.49	5.68	8.17	NaN	NaN	2
L203_07	2.88	9.39	5.5	7.88	2.8	3.49	2
L203_08	2.62	7.24	4.44	7.68	NaN	NaN	2
L203_09	2.35	7	4.42	7.23	NaN	NaN	2
L204_01	3.78	9.99	4.77	9.99	2.18	3.11	2
L204_02	3.89	10.75	6.22	10.66	2.48	2.59	2
L204_03	3.61	10.41	5.83	9.97	1.94	2.67	2
L204_04	3.63	11.1	5.28	10.53	2.42	3.26	2
L204_05	3.02	9.5	4.95	8.15	1.77	2.8	2
L204_06	2.98	9.49	4.97	8.66	2.22	3.58	3
L204_07	3.4	10.29	5.32	9.91	2.32	3.16	2
L204_08	3.37	10.38	5.62	10.44	2.29	3.09	2
L204_09	3.46	10.33	5.21	10.43	2.46	3.13	2
L204_10	3.79	10.15	5.15	9.75	2.29	2.89	2
L205_01	2.78	9.8	5.55	10.75	NaN	NaN	2
L205_02	3.29	10.61	4.86	9.49	2.4	3.34	2
L205_03	3.01	10.1	5.57	9.91	NaN	NaN	2
L205_04	3.39	8.34	4.08	9.39	2.55	2.8	2
L205_05	3.21	9.34	4.73	9.84	NaN	NaN	2
L205_06	2.97	9.68	5.34	9.19	2.08	3.2	2
L205_07	3.24	9.52	4.86	9.57	NaN	NaN	2
L205_08	2.82	8.91	3.95	8.71	NaN	NaN	1
L205_09	3.05	9.77	4.55	10.53	NaN	NaN	2
L206_01	3.79	9.48	5.2	9.51	2.16	3.35	2
L206_02	3.14	9.68	5.08	9.79	2.03	2.78	2
L206_03	3.01	8.3	4.8	8.3	NaN	NaN	2
L206_04	3.36	9.83	5.54	9.76	NaN	NaN	2
L206_05	3.04	8.92	4.95	9	1.62	2.33	2
L206_06	3.5	9.63	4.4	9.26	1.67	3.35	2
L206_07	3.43	9.55	5.52	8.43	NaN	NaN	2
L206_08	3.56	9	5.06	8.08	1.62	3.16	2
L206_09	3.23	8.56	4.22	8.59	1.84	2.75	2
L206_10	3.52	9.67	4.62	8.91	1.99	3.38	2
L207_01	3.17	9.21	4.22	8.2	NaN	NaN	2
L207_02	3.23	7.56	3.57	8.17	2.2	3.21	2
L207_03	3.31	8.71	4.8	8.85	NaN	NaN	2
L207_04	3.29	9.4	5.55	8.98	2.42	3.03	2
L207_05	3.27	8.1	4.03	8.2	2.32	2.78	2
L207_06	3.01	8.39	4.4	7.45	1.94	2.45	2
L207_07	3.09	8.11	4.32	8.75	NaN	NaN	2
L207_08	3.14	8.79	4.9	8.82	2.91	2.83	2
L207_09	3.85	7.17	4.37	8.2	NaN	NaN	2
L207_10	3.28	7.92	3.44	7.55	2.17	3.71	2
L208_01	3.22	9.7	4.13	8.61	2.74	2.8	2
L208_02	2.87	8.6	4.06	7.65	2.49	2.95	1
L208_03	3.15	8.39	3.92	7.98	NaN	NaN	2
L208_04	2.97	8.72	4.13	7.8	2.07	3.09	2
L208_05	3.28	8.95	4.57	8.64	2.46	3.18	2
L208_06	3.21	NaN	NaN	NaN	NaN	NaN	2
L208_07	2.77	7.57	3.95	7.02	2.12	3.08	1
L208_08	2.89	8.51	3.96	7.75	2.7	2.9	1
L209_01	2.75	8.51	4.01	7.93	2.37	2.69	2
L209_02	2.95	8.04	4.17	8.5	2.06	3.02	2
L209_03	2.98	8.98	4.77	8.68	2.04	3.09	2
L209_04	2.77	8.89	4.16	8.34	2.22	2.42	2
L209_05	2.89	8.97	4.8	8.29	2.18	3.15	2
L209_06	3.11	7.87	3.99	8.22	2.07	3.15	3
L209_07	2.83	9.46	5.29	8.17	2.22	2.74	2
L209_08	3.01	9.09	4.96	8.65	2.04	2.85	2
L209_09	2.74	9.03	4.78	8.39	2.08	2.75	2
L209_10	2.83	8.73	4.55	7.84	1.64	2.5	2
L210_01	2.49	9.07	5.04	8.3	NaN	NaN	2
L210_02	2.79	8.92	5.35	9.4	2.28	2.27	2
L210_03	2.88	8.68	5.36	8.24	NaN	NaN	2
L210_04	2.76	9.52	5.33	8.61	NaN	NaN	3
L210_05	2.49	8.2	4.19	8	2.2	2.94	2
L210_06	2.59	7.91	4.38	7.59	NaN	NaN	2
L210_07	2.93	9.44	5.73	8.33	2.51	2.95	2
L210_08	2.75	8.66	4.43	8.52	2.39	2.61	2
L301_01	2.73	8.83	6.01	7.35	1.5	2.57	2
L301_02	2.73	10.35	6.08	8.41	1.92	3.27	2
L301_03	2.38	8.7	4.13	7.09	NaN	NaN	1
L301_04	2.14	8.16	4.39	7.48	NaN	NaN	2
L301_05	2.35	8.74	5.1	7.63	NaN	NaN	2
L301_06	2.74	8.81	4.09	8.12	NaN	NaN	2
L301_07	2.36	8.37	4.15	7.32	NaN	NaN	1
L301_08	2.42	8.76	4.94	7.65	1.82	3.06	2
L301_09	2.57	8.37	4.21	7.99	NaN	NaN	2
L301_10	2.59	9.26	3.99	8.55	NaN	NaN	2
L302_01	2	9.31	5.01	8.38	2.19	3.01	2
L302_02	2.21	10.95	4.68	8.7	NaN	NaN	2
L302_03	2.19	11.54	5.08	8.68	NaN	NaN	2
L302_04	2.04	9.26	4.63	8.36	2.13	2.39	2
L302_05	2.25	8.96	5.03	7.83	1.91	2.35	1
L302_06	2.32	10.71	5.55	8.93	2.17	2.92	2
L302_07	1.9	9.25	4.41	7.47	1.94	3.15	2
L302_08	2.25	11.25	4.96	7.55	2.71	2.8	2
L302_09	2.26	9.08	4.6	9.16	NaN	NaN	2
L302_10	1.91	9.27	4.52	8.5	NaN	NaN	2
L303_01	3.59	10.32	6.23	10.3	2.51	2.9	2
L303_02	3.4	8.35	4.43	8.33	2.35	3.01	2
L303_03	2.98	8.86	4.5	8.33	NaN	NaN	2
L303_04	3.01	9.63	5.53	9.7	2.75	3.66	2
L303_05	3.43	11	5.82	9.28	NaN	NaN	3
L303_06	3.14	10	6.5	9.72	2.31	2.45	3
L303_07	3.21	9.11	5.77	9.67	2.26	2.05	3
L303_08	2.54	9.85	6.62	8.07	2.25	2.46	2
L304_01	3.09	9.67	5.6	9.19	2.32	2.35	2
L304_02	3.58	9.81	4.72	8.53	NaN	NaN	2
L305_01	3.02	10.63	4.81	9.67	1.7	3.4	2
L305_02	2.82	9.84	6.19	9.13	NaN	NaN	2
L305_03	2.98	10.74	5.23	9.57	NaN	NaN	3
L305_04	3.18	10.78	5.91	9.27	1.59	2.46	2
L305_05	3.69	10.48	5.95	9.58	1.8	2.66	2
L305_06	2.95	11	5.43	10.41	NaN	NaN	2
L305_07	3.33	9.7	5.56	10.26	NaN	NaN	2
L305_08	3.51	10.09	4.9	9.17	NaN	NaN	2
L305_09	3.59	11.11	6.3	10.26	1.77	3.33	2
L306_01	3.12	9.57	5.35	10.61	NaN	NaN	3
L306_02	2.38	9.1	4.68	8.98	NaN	NaN	3
L306_03	2.88	9.55	4.98	9.46	2.45	3.31	3
L306_04	3.03	9.59	4.38	8.1	2.1	4.5	2
L306_05	2.57	10.01	4.84	8.37	NaN	NaN	2
L306_06	2.72	10.17	5.42	9.87	NaN	NaN	3
L307_01	2.53	9.62	5.98	8.13	1.77	3.2	1
L307_02	2.91	10.52	7.16	8.42	1.87	3.37	2
L307_03	2.72	9.25	5.42	8.58	NaN	NaN	2
L307_04	2.91	9.98	5.84	9.44	2.08	3.99	2
L307_05	2.33	9.36	5.17	7.78	NaN	NaN	2
L307_06	3.07	8.97	4.8	8.36	1.94	3.71	2
L307_07	2.72	11.61	7.22	9.43	NaN	NaN	2
L307_08	2.62	9.01	5.17	8.92	NaN	NaN	2
L307_09	2.89	10.61	7.24	8.38	NaN	NaN	2
L307_10	2.79	8.7	5.18	9.32	NaN	NaN	2
L309_01	3.14	9.73	4.3	9.63	2.62	2.14	3
L309_02	2.97	9.41	6.53	9.72	NaN	NaN	3
L309_03	3.07	10.15	5.69	9.22	NaN	NaN	2
L309_04	2.88	9.12	4.73	10	NaN	NaN	3
L309_05	2.98	10.39	5.29	9.7	NaN	NaN	3
L309_06	3.05	8.69	4.49	8.38	NaN	NaN	3
L309_07	2.53	9.12	3.44	8.76	NaN	NaN	4
L309_08	3.08	9.77	5.22	9.17	NaN	NaN	3
L310_01	3.08	9.06	4.88	9.37	NaN	NaN	2
L310_02	2.72	10.22	5.19	9.15	NaN	NaN	2
L310_03	1.71	NaN	NaN	NaN	NaN	NaN	2
L310_04	2.98	10.62	5.52	10.05	NaN	NaN	2
L310_05	2.49	9.55	4.93	9.11	NaN	NaN	2
L310_06	2.72	9.59	4.91	7.35	NaN	NaN	2
L310_07	2.18	8.55	5.29	8.43	NaN	NaN	2
L310_08	2.64	10.55	5.36	10.53	NaN	NaN	2
L401_01	2.89	9.14	5.1	6.65	2.38	3.18	2
L401_02	2.78	10.22	4.9	8.08	2.1	3	2
L401_03	2.99	8.94	4.68	6.47	2.55	3.35	2
L401_04	3.05	8.67	4.47	6.72	2.33	3.15	2
L401_05	2.89	9.83	5	6.89	2.27	3.09	2
L401_06	3	9.09	4.68	6.86	2.35	3.05	2
L401_07	2.93	10.14	5.75	8.33	2.55	3.31	2
L401_08	2.47	9.92	4.67	7.04	2.69	2.98	2
L401_09	2.85	9.13	4.59	7.03	2.08	2.95	2
L401_10	2.59	9.41	4.55	6.64	2.24	3.07	2
L405_01	3.06	8.74	4.96	9	2.21	3.07	2
L405_02	2.97	9.21	5.19	8.98	2.28	3.69	2
L405_03	3.35	9.88	4.94	9.3	2.22	3.02	2
L405_04	3.1	9.94	5.04	8.77	2.11	2.78	2
L405_05	3.27	9.39	5.28	8.81	2.24	2.85	2
L405_06	3.2	7.93	3.76	6.67	2.38	2.93	2
L405_07	2.76	7.7	4.19	8.23	NaN	NaN	2
L405_08	3.3	8.34	4.12	7.6	2.01	3.35	2
L405_09	2.75	8.06	4.98	7.67	NaN	NaN	2
L405_10	2.44	7.66	4.11	7.21	NaN	NaN	2
L406_01	3.13	8.19	4.37	7.49	NaN	NaN	2
L406_02	2.74	7.33	4.29	6.63	NaN	NaN	NaN
L406_03	2.96	8.56	3.3	7.15	NaN	NaN	2
L406_04	3.19	9.03	4.66	8.03	2.38	3.05	2
L407_01	2.8	10.75	5.76	9.96	2.12	2.84	2
L407_02	2.87	9.58	4.45	8.87	NaN	NaN	1
L407_03	2.68	8.52	4.56	8.19	NaN	NaN	1
L407_04	2.63	9.68	5.18	8.79	2.68	2.92	1
L407_05	2.66	8.68	4.92	8.39	2.21	2.42	1
L407_06	2.97	9.78	4.84	8.92	NaN	NaN	2
L407_07	2.89	9.37	4.67	9.75	NaN	NaN	2
L407_08	3.23	10.01	5.01	10.41	NaN	NaN	2
L407_09	3.19	9.89	6.29	10.83	NaN	NaN	2
L407_10	2.63	9.62	5.37	9.63	NaN	NaN	1
L408_01	3.43	9.38	5.03	7.99	2.25	2.95	2
L408_02	3.91	9.13	4.21	7.81	2.21	2.41	2
L408_03	3.87	10.19	5.2	9.24	2.48	3.16	2
L408_04	4.16	9.55	5.57	8.07	3.2	4.49	3
L408_05	4.13	9.97	3.84	8.38	2.73	3.05	2
L408_06	3.93	9.78	5.23	8.7	NaN	NaN	3
L408_07	3.9	8.91	4.19	7.42	2	2.79	3
L408_08	3.76	9.87	4.7	7.9	2.45	2.82	2
L408_09	4.26	10.68	4.73	9.13	2.19	2.63	2
L408_10	3.8	10.26	4.59	8.72	2.01	3.05	3
