Id	ProcCoord1_fl	ProcCoord2_fl	ProcCoord3_fl	ProcCoord4_fl	ProcCoord5_fl	ProcCoord6_fl	ProcCoord7_fl	ProcCoord8_fl	ProcCoord9_fl	ProcCoord10_fl	ProcCoord11_fl	ProcCoord12_fl	ProcCoord13_fl	ProcCoord14_fl	ProcCoord15_fl	ProcCoord16_fl	ProcCoord17_fl	ProcCoord18_fl	ProcCoord19_fl	ProcCoord20_fl	ProcCoord21_fl	ProcCoord22_fl	ProcCoord23_fl	ProcCoord24_fl	ProcCoord25_fl	ProcCoord26_fl
HMAC001_1_fl	-0.007555636849333747	0.5768455101096484	-0.0013611731766476967	0.37603520267937623	-0.17029144295690393	0.12709948135666907	-0.2311535880331868	-0.07127891617264077	-0.08916706140408963	0.01709976077934472	-0.15928842750908997	-0.21733716172472656	-0.07426523622924178	-0.17630893540840026	0.019428563529499364	-0.3255175366472225	0.05173245663453076	-0.17747186536502543	0.1300991449749148	-0.2292019344989982	0.08152501600614943	0.02115659129800978	0.2348916756091791	-0.01812565126669107	0.21540570940422	0.09700545486065576
HMAC001_2_fl	-0.018375368326266697	0.5399385448990095	0.03644724743632511	0.3501273250384025	-0.10516346989051333	0.20209012341131544	-0.26295227044609143	-0.07248396794074943	-0.11772608320528068	-0.014282516293359072	-0.1541971379802011	-0.2638803404842893	-0.06057304749071073	-0.17836548392910803	0.023248166174628493	-0.30019450936265935	0.04896254322323876	-0.15802051241733878	0.13532809248823108	-0.22760573038781423	0.09638428775844865	0.0050208640626693245	0.25664614061956026	-0.08276376545695363	0.12197089963863184	0.20041996886087562
HMAC001_5_fl	0.016226019653439352	0.5608394335894227	0.005046266427241791	0.33946916382606585	-0.1758254215795953	0.1363084720801228	-0.2632410466004181	-0.06533780530058811	-0.0980596759850986	0.012259366948659863	-0.18578586503394678	-0.21402118746525609	-0.06450242951719305	-0.12745934555017208	0.02235440274571516	-0.3425455077538875	0.07710083635853349	-0.17961838159834295	0.17977213346078033	-0.22163228162185528	0.08119931512153795	-0.0030734564123169397	0.2434700481361239	-0.04293781974698051	0.1622454168128798	0.14774934900512807
HMAC001_6_fl	0.0030696832121879583	0.54825792036313	-0.0016076829862452374	0.33450042671125385	-0.11961806901346768	0.19544911508103227	-0.2530719472902546	-0.09190582585847351	-0.07695089292581216	0.004591727078590501	-0.19073986020592518	-0.23038913471933295	-0.07396314084118825	-0.1812619438375412	-0.0025123454476545515	-0.34346983977104073	0.056563577745427696	-0.18010902089715974	0.18086550667435378	-0.17836855730607173	0.0517025620250006	0.022816218679098693	0.27358801650822584	-0.05393989904791373	0.15267459254535234	0.1538288135244285
HMAC001_7_fl	0.02327490431347519	0.5515308548218586	0.008253108350276761	0.32860196402029185	-0.16858446087511858	0.16760742469352077	-0.27415173026318584	-0.08687704613478776	-0.09442819781154098	0.022162685816117862	-0.16696900347874338	-0.21952011705376423	-0.06489571420114607	-0.16389393058264504	0.036806170061008246	-0.34655848085641683	0.06526840745256432	-0.14306038066612425	0.17404495010932097	-0.22195625184929524	0.08402253051212721	0.02389366797013808	0.2281861277673214	-0.08526680498061558	0.14917290806363998	0.1733364148017238
HMAC002_1_fl	-0.033518746914373176	0.5868927811722661	0.009341027871349255	0.3151305945703138	-0.12002556557289089	0.1782753449186175	-0.2678425049533489	-0.06416270046877057	-0.04791755263331382	0.016500458848605917	-0.13339370026061198	-0.23451268401454708	-0.04895947751894217	-0.1654040054594639	0.011891310103455954	-0.31879798236895873	0.05421628099305223	-0.17986062523593657	0.1027958394653242	-0.23525243316234692	0.0695766723463142	0.00785263654035518	0.25465493909801157	-0.0932755774166835	0.14918147797597392	0.18661419207654856
HMAC002_2_fl	-0.023653615814699228	0.6091875918646761	8.306803934911219E-4	0.31542653264818993	-0.07111248435905741	0.2131190073804026	-0.22216268008149342	-0.08907011040016828	-0.07150138348759483	-0.020529986893806265	-0.1131662921792548	-0.22463585344004403	-0.0626603000553878	-0.18018725752661202	-0.02379234600599847	-0.3020477208525581	0.041527388842475074	-0.17200821861917057	0.10313289279264748	-0.24053968272728002	0.11029058048385025	-0.04561447365743615	0.25771738880327133	-0.09561149815705121	0.07455017066775074	0.2325116703808599
HMAC002_3_fl	-0.07051907238447468	0.5355771124557508	-0.005636247417782431	0.29331733241578994	-0.08022805259149866	0.23333897408220078	-0.27062574758546953	-0.02288058213796731	-0.0873443708938877	0.024845130427998637	-0.17710029269279767	-0.194375582839008	-0.0757174135552095	-0.1458192395675734	-2.929021553428196E-4	-0.35065555208973537	0.08319696190148718	-0.19255346070219678	0.16234467627312646	-0.26108627729174116	0.12166927491383403	-0.037049452622843655	0.2908323864239315	-0.07809573256827729	0.1094207997640831	0.19543733043760295
HMAC002_4_fl	0.02359839409082972	0.5252730290027595	-0.00809692852027323	0.28956526553634726	-0.08592125359628307	0.21639378559907232	-0.30915287023634574	-0.036030167515645785	-0.09021123189361181	0.00787765487875398	-0.1943934028749205	-0.25837920609980514	-0.07628869013367363	-0.15814271374197172	0.040102025469885255	-0.36644644949655364	0.07547364705610393	-0.1726248094804315	0.2005177696345636	-0.22193678791731664	0.0752176008705566	0.015765496449838774	0.2599860843241215	-0.04229707729544488	0.08916885580904706	0.20098198008039894
HMAC002_5_fl	0.024049851097748015	0.5481545749538009	-0.014631717051172125	0.2876083174332824	-0.10296057658284481	0.2151227619526716	-0.29426134456217884	-0.039731851896597246	-0.11147741934011335	-0.0016646835442644357	-0.15886307583382592	-0.23415192463786955	-0.06124134937305788	-0.17138367214301128	0.029003681643315085	-0.3316287352263425	0.06414621456857593	-0.1736643245648882	0.16841745241186848	-0.24684502222874272	0.08318975666840529	-0.011424182586948006	0.28306810522232967	-0.03446070110466969	0.09156042113095028	0.1940694435935782
