"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"
"L206"	"2"	"L"	3.39714285714286	9.27714285714286	4.79	9.02	1.84714285714286	3.01428571428571	2
"L207"	"2"	"L"	3.20333333333333	8.36	4.315	8.195	2.32666666666667	3.00166666666667	2
"L208"	"2"	"L"	3	8.675	4.13333333333333	7.91166666666667	2.43	3	1.5
"L209"	"2"	"L"	2.886	8.757	4.548	8.301	2.092	2.836	2.1
"L210"	"2"	"L"	2.74	8.805	4.925	8.5625	2.345	2.6925	2
"L301"	"3"	"L"	2.62666666666667	9.31333333333333	5.67666666666667	7.80333333333333	1.74666666666667	2.96666666666667	2
"L302"	"3"	"L"	2.12666666666667	9.79	4.93166666666667	8.08666666666667	2.175	2.77	1.83333333333333
"L303"	"3"	"L"	3.14833333333333	9.54333333333333	5.84666666666667	9.29833333333333	2.405	2.755	2.33333333333333
"L304"	"3"	"L"	3.09	9.67	5.6	9.19	2.32	2.35	2
"L305"	"3"	"L"	3.37	10.75	5.7425	9.695	1.715	2.9625	2
"L306"	"3"	"L"	2.955	9.57	4.68	8.78	2.275	3.905	2.5
"L307"	"3"	"L"	2.855	9.7725	5.945	8.5875	1.915	3.5675	1.75
"L309"	"3"	"L"	3.14	9.73	4.3	9.63	2.62	2.14	3
"L401"	"4"	"L"	2.844	9.449	4.839	7.071	2.354	3.113	2
"L405"	"4"	"L"	3.17857142857143	9.06142857142857	4.75571428571429	8.44714285714286	2.20714285714286	3.09857142857143	2
"L406"	"4"	"L"	3.19	9.03	4.66	8.03	2.38	3.05	2
"L407"	"4"	"MAC"	2.69666666666667	9.70333333333333	5.28666666666667	9.04666666666667	2.33666666666667	2.72666666666667	1.33333333333333
"L408"	"4"	"L"	3.91333333333333	9.77111111111111	4.67333333333333	8.29555555555556	2.39111111111111	3.03888888888889	2.33333333333333
"L409"	"4"	"L"	3.43	9.435	4.765	7.585	2.405	3.56	2.5
"L410"	"4"	"L"	2.87666666666667	10.4633333333333	6.33	9.04333333333333	2.49	2.78666666666667	2
"L502"	"5"	"L"	3.29	10.18	4.18	8.765	1.975	3.325	2
"L503"	"5"	"L"	2.862	9.748	5.056	9.098	2.1	4.168	1.8
"L504"	"5"	"L"	3.675	9.495	5.57	9.255	2.38	4.285	2
"L505"	"5"	"L"	3.19	8.17166666666667	5.14666666666667	7.94333333333333	2.095	3.61	2
"L506"	"5"	"L"	3.605	10.6375	5.1475	9.1925	2.37	3.31	2.5
"L507"	"5"	"L"	3.065	9.865	5.23	9.465	1.875	3.47	2
"L508"	"5"	"L"	3.08	10.76	5.99	10.07	2.26	2.89	3
"L509"	"5"	"L"	3.4575	10.11	5.75	9.6075	2.5025	3.47	2.25
"L510"	"5"	"L"	3.765	9.69	5.37	9.815	2.29	3.285	3
"L601"	"6"	"L"	3.53	10.45	6.28	9	1.8	3.74	2
"L602"	"6"	"L"	3.47555555555556	9.50666666666667	5.10333333333333	9.41666666666667	2.58333333333333	3.39222222222222	1.88888888888889
"L603"	"6"	"L"	4.09375	9.58375	4.75375	8.8625	1.655	2.81875	2.375
"L604"	"6"	"L"	3.38333333333333	10.4655555555556	4.93555555555556	9.33	1.72111111111111	2.04222222222222	2
"L605"	"6"	"L"	3.235	9.845	5.055	9.105	2.065	2.9	2
"L606"	"6"	"L"	3.87625	10.24125	4.97375	9.2525	1.785	2.46625	2.25
"L607"	"6"	"L"	3.546	11.112	6.079	9.711	2.014	2.174	2.2
"L608"	"6"	"L"	3.33222222222222	10.2622222222222	5.39777777777778	9.58888888888889	2.23444444444444	3.80888888888889	2
"L609"	"6"	"L"	3.72666666666667	11.415	5.93833333333333	8.71833333333333	1.59333333333333	2.45833333333333	2
"L610"	"6"	"L"	3.94222222222222	10.4011111111111	5.47111111111111	9.28555555555556	1.96666666666667	3.51111111111111	2.11111111111111
"L701"	"7"	"L"	3.49875	10.61875	5.79875	9.84375	2.61625	3.39875	2
"L702"	"7"	"L"	3.29142857142857	9.45285714285714	5.04714285714286	9.02	2.31571428571429	3.46428571428571	2
"L703"	"7"	"L"	3.00125	7.885	4.05	8.35	1.8125	2.82375	2.25
"L704"	"7"	"L"	3.32888888888889	9.36444444444444	5.04555555555556	9.48222222222222	2.11555555555556	3.09222222222222	2.11111111111111
"L705"	"7"	"L"	3.326	8.544	5.196	9.034	1.96	2.954	2
"L706"	"7"	"L"	3.917	11.138	5.934	10.166	1.892	2.62	1.6
"L708"	"7"	"L"	3.66666666666667	10.8333333333333	6.06444444444444	10.3688888888889	2.27111111111111	3.09111111111111	2
"L709"	"7"	"L"	3.67888888888889	10.0688888888889	5.18666666666667	9.45	1.78333333333333	2.12111111111111	2
"L710"	"7"	"L"	3.581	9.654	4.81	9.1	1.566	2.327	2
"L801"	"8"	"L"	3.075	10.89	6.335	9.075	2.235	2.11	1.5
"L804"	"8"	"L"	3.09	9.85	4.36	9.425	2.33	2.565	2
"L805"	"8"	"L"	2.718	8.663	4.692	8.224	1.324	2.379	2.1
"L806"	"8"	"L"	3.25	10.515	4.8475	9.625	1.7575	2.37	2.5
"L808"	"8"	"L"	3.005	10.1525	5.1775	8.495	1.9525	2.69	1.5
"L810"	"8"	"L"	3.08	11.6	7.44	10.89	2.73	2.47	3
"L901"	"9"	"L"	2.923	10.208	5.66	9.345	1.914	2.939	2
"L902"	"9"	"L"	2.93428571428571	8.86142857142857	4.53142857142857	7.82	1.98	3.92714285714286	1.71428571428571
"L903"	"9"	"L"	2.976	8.111	4.139	9.361	2.13	3.253	2
"L904"	"9"	"L"	3.08	10.1283333333333	5.75	9.06166666666667	2.185	3.50166666666667	2
"L905"	"9"	"L"	3.396	9.623	4.924	8.633	2.081	2.951	1.8
"L906"	"9"	"L"	3.54666666666667	10.9766666666667	5.82666666666667	8.68	2.07	3.28666666666667	2
"L907"	"9"	"L"	3.3475	10.9075	6.44	9.88	2.235	2.8125	2
"L908"	"9"	"L"	4.09714285714286	10.7028571428571	5.35142857142857	9.33714285714286	1.73857142857143	2.20142857142857	1.85714285714286
"L909"	"9"	"L"	3.42222222222222	9.65111111111111	5.74	8.73333333333333	2.00444444444444	3.71333333333333	2.11111111111111
"L910"	"9"	"L"	2.88875	7.7575	3.73125	7.35375	4.325	5.165	2
"L911"	"9"	"L"	3.068	9.915	5.15	8.93	2.177	3.323	2
"L912"	"9"	"L"	3.23	10.45	5.46333333333333	9.25333333333333	2.22333333333333	3.31666666666667	2
"M203"	"2"	"M"	2.10833333333333	8.54666666666667	4.35833333333333	7.47333333333333	2.20666666666667	2.49	1
"M204"	"2"	"MED"	2.83	10.96	5.61	8.57	3.08	3.11	1
"M205"	"2"	"M"	2.51142857142857	9.26428571428571	4.92428571428571	6.81428571428571	3.24428571428571	3.25428571428571	1
"M206"	"2"	"M"	2.295	8.9775	4.345	7.435	2.6325	2.815	1
"M207"	"2"	"MED"	2.36	8.36	4.92	8.19	2.24	2.31	1
