"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"	"LM1_x_fl"	"LM1_y_fl"	"LM2_x_fl"	"LM2_y_fl"	"LM3_x_fl"	"LM3_y_fl"	"LM4_x_fl"	"LM4_y_fl"	"LM5_x_fl"	"LM5_y_fl"	"LM6_x_fl"	"LM6_y_fl"	"LM7_x_fl"	"LM7_y_fl"	"LM8_x_fl"	"LM8_y_fl"	"LM9_x_fl"	"LM9_y_fl"	"LM10_x_fl"	"LM10_y_fl"	"LM11_x_fl"	"LM11_y_fl"	"LM12_x_fl"	"LM12_y_fl"	"LM13_x_fl"	"LM13_y_fl"	"LM1_x_sh"	"LM1_y_sh"	"LM2_x_sh"	"LM2_y_sh"	"LM3_x_sh"	"LM3_y_sh"	"LM4_x_sh"	"LM4_y_sh"	"LM5_x_sh"	"LM5_y_sh"	"LM6_x_sh"	"LM6_y_sh"	"LM7_x_sh"	"LM7_y_sh"	"LM8_x_sh"	"LM8_y_sh"	"LM9_x_sh"	"LM9_y_sh"	"LM10_x_sh"	"LM10_y_sh"	"LM11_x_sh"	"LM11_y_sh"	"LM12_x_sh"	"LM12_y_sh"	"LM13_x_sh"	"LM13_y_sh"
"H404"	"4"	"MAC"	2.66	8.96666666666667	4.26666666666667	9.02666666666667	2.48666666666667	2.56	1.66666666666667	-0.00687696924534022	-0.515859353816514	0.00590741380930652	-0.358311083428094	-0.118809341343236	-0.248934321138223	-0.252831983618872	0.0898676348292974	-0.109354523908614	0.0377943754694926	-0.116872620324568	0.239330778745003	-0.0602351152815155	0.195102711940156	-0.0129124128910533	0.297853424376975	0.0615932397347739	0.169412323525743	0.13033135713489	0.227357823126833	0.102425187249663	0.00587308770399543	0.242747862106134	0.100196631437476	0.134887906578431	-0.239684032772139	0.0189850640498528	-0.575389827344573	-0.0168082725590343	-0.371834526503762	-0.120886991205397	-0.226068825822617	-0.212466251079752	0.111359606968495	-0.093721928178033	0.0385703117096281	-0.0973482743135615	0.231674085153033	-0.0404121286111835	0.172725300857553	0.00394875822405063	0.283407641386273	0.047543526070221	0.180793671487473	0.101807273570283	0.242737697815101	0.087436725244858	0.0309526385786598	0.216710815212717	0.105511079127455	0.105211683574978	-0.224438853412719
"H405"	"4"	"R"	3.2075	9.9025	4.43	8.91	1.685	2.1	2	-0.00636859672019852	-0.52599917124863	0.00254201031642814	-0.346753220116499	-0.146089015066449	-0.238547594132961	-0.238562636261101	0.0863566922614907	-0.106591215091206	0.0282958846932247	-0.128838466666889	0.219405843412938	-0.0609972257660882	0.174437054909281	-0.00205657383926072	0.303188692982648	0.0615764768582395	0.194146694692256	0.123250862805938	0.236440825604001	0.105942099480525	0.021661586934064	0.246949499811743	0.0750264919308984	0.149242780138317	-0.22765978192271	-0.0136244271805005	-0.534068193924588	-0.0351127925161453	-0.24654294224784	-0.156064543153988	-0.300319746588059	-0.302948738717223	0.0204769720289703	-0.0274970925667282	0.0996819483439074	-0.228656027365367	0.173198480283572	-0.0209109486352392	0.123259154498517	0.0361730215320257	0.313194059900915	0.0234980758436215	0.239743075933281	0.222163166945386	0.245578200487363	0.135342252656704	0.114221210838898	0.186439032742202	-0.00172870033714358	0.247987428200112	-0.258798705953517
"H406"	"4"	"MAC"	3.40666666666667	9.98333333333333	4.70666666666667	9.62166666666667	2.01166666666667	2.48333333333333	1.83333333333333	0.0146577927157308	-0.52800205693791	-0.00816175346978097	-0.357528237699775	-0.135119804307767	-0.240910604853369	-0.237838348880405	0.0903392882982151	-0.113752631182063	0.0380915053392739	-0.119216500209205	0.233727166401619	-0.0584465905670321	0.177081364255365	-0.00128495178146689	0.295002176540844	0.0652009250957067	0.177396595382875	0.12791947583993	0.224209733015266	0.112226665894649	0.038373997311816	0.234791611835381	0.106861104596138	0.119024109016322	-0.254642031650357	-0.203043488799867	-0.527809780488472	0.0520975980282734	-0.461286292472743	-0.258307335495262	-0.25396059048577	-0.308761341927039	0.0216517436454506	-0.0267898321030952	0.111666182976333	-0.217126668580853	0.184542196065832	-0.0249299773426576	0.163399992463174	-0.0415603142096829	0.287856209894854	0.0283192387763252	0.220064313176764	0.219599781801323	0.186463345946135	0.0140391305803457	-0.0650990640634601	0.297986690713095	0.117711025559032	0.23082569486734	-0.0428690269210862
"H408"	"4"	"MAC"	3.05833333333333	10.5366666666667	4.95166666666667	9.66	2.34166666666667	2.78166666666667	1.33333333333333	-0.03337115188559	-0.576582601037022	-0.00963820991887673	-0.34625230610638	-0.118302723246431	-0.217555578111412	-0.244452551582844	0.0704501949063331	-0.0976334628060158	0.0302228354255747	-0.141950573600318	0.209633135364046	-0.0589254918441058	0.180266632509989	0.0203930651112769	0.291259144877103	0.0614505491665296	0.176076958690766	0.121390054103945	0.229079633671077	0.0976862277272818	0.0203152110236752	0.238385358223654	0.0941426469618102	0.164968910551494	-0.161055908175561	-0.0630260510875496	-0.527809780488472	-0.00164019360916629	-0.505739310461478	-0.266698451156794	-0.248892094310089	-0.281984269239666	0.0310974000163098	-0.0149151030580835	0.102062887553774	-0.213938062302385	0.180932575681793	-0.0209109486352392	0.119112786233011	-0.0331978281663211	0.310929166159543	0.0234980758436215	0.239743075933281	0.214088250603254	0.183318373305574	0.0140391305803457	0.101646882437258	0.294037902653774	-0.0219395749988392	0.23082569486734	-0.0457966747871933
"HMAC006"	"0"	"L"	2.90333333333333	9.31	5.33	8.7	2.29666666666667	2.45666666666667	2.66666666666667	0.0262161977720102	-0.55354731118463	-0.00196579459631345	-0.353259927967171	-0.154888000208906	-0.187430600455704	-0.222417824507989	0.080223977118601	-0.111397811572796	0.0360164455667183	-0.154264183193109	0.20572512701934	-0.0754736578775219	0.192129756792536	-0.0110083546795265	0.296532197556625	0.0839653312271672	0.197631101805075	0.14723230373251	0.223341741881067	0.121073139204339	0.0221306434218646	0.235382165718528	0.0557773421339007	0.117546488981608	-0.215270493688223	-0.00664016300895795	-0.581584251418284	-0.00124794128398434	-0.357324474442765	-0.0878919451276526	-0.230668610891664	-0.199717577756387	0.0900716913533754	-0.0989745441943849	0.0492467965824638	-0.109334412417987	0.225814177532824	-0.066871570332147	0.201963715591871	-0.0128275262001382	0.286387144534626	0.0494652774259898	0.204282968303526	0.114785306693192	0.202023878891639	0.105921243805827	0.0470668205738059	0.219505725705137	0.101571620593449	0.0938281266914937	-0.238851477204867
"HMAC007"	"0"	"L"	3.38	8.04	4.07	6.37	1.81	3.12	2	-0.0537905695082698	-0.541686278758508	0.00455878898091795	-0.378969786364998	-0.112550872303175	-0.222545622180026	-0.239897448927564	0.0523014244315354	-0.116303003768839	0.0216956442883005	-0.12004014338625	0.230678190414431	-0.0633287250091564	0.189374148346154	-0.0183786152056281	0.297778779384051	0.0645552799950327	0.165785929200326	0.130699871924708	0.197681500535976	0.141281902482464	0.0960713556266716	0.219744776480474	0.104638648840171	0.163448758245287	-0.212803933764083	0.00422057639514297	-0.566323782901218	-0.00258377918871853	-0.410324507767622	-0.118347422285606	-0.250199068144723	-0.194066904744868	0.119603146252267	-0.111247422557756	0.0762768124277462	-0.0936745527162616	0.210643088158309	-0.0516349819415805	0.180907234884516	0.0128891430004638	0.279712706814863	0.057363924734737	0.191889958303319	0.0955277996349658	0.214178730217906	0.0938360034792317	0.0661664165186719	0.187817101002571	0.111018449898627	0.119900515187678	-0.223549184662664
"HMAC008"	"0"	"R"	2.985	10.58	6.255	7.77	2.16	2.265	1	0.0188625539380513	-0.553521695692226	-0.00610745257496114	-0.301667347258988	-0.12577050433526	-0.213408768234552	-0.267019311230157	0.0831058526835981	-0.112059140571576	0.0196797605426143	-0.122393367167325	0.228629796962891	-0.0604572077495349	0.168753273322528	-0.0209140826307943	0.340471285218874	0.0634341280769376	0.172370689843904	0.131932557918063	0.237366683538674	0.103660932070008	-0.00981991772554317	0.264408102100518	0.0249950127304724	0.132422792156031	-0.196954625932246	-0.0582693111037361	-0.576969936795224	0.0029287024746156	-0.285176843737888	-0.0711563382612025	-0.205138335458549	-0.279306500430564	0.0330012774350315	-0.083158808311992	-0.00932456598885456	-0.197596029600034	0.201666711665887	-0.0669568791909509	0.139389198846789	-0.00809385032802201	0.35166173923311	0.0883728213999831	0.185649632969512	0.164050310024272	0.221048648925409	0.154604016353085	0.0629902204023969	0.2533592335343	0.0683455691445643	0.101222633440247	-0.187143316642185
"HMAC010"	"0"	"L"	3.206	8.736	5.242	8.158	2.168	2.848	2.2	-0.0122856728799267	-0.559808754708557	0.00253400996478786	-0.396714695477871	-0.138303054667878	-0.231255445852317	-0.199275565986128	0.104772677945584	-0.127115015681134	0.0855493613154893	-0.10462977008042	0.197377695877751	-0.0615622389602979	0.177495875709702	0.00667164719151258	0.271220422549456	0.0623490384220899	0.196124657887915	0.0908498917576541	0.222296053635445	0.105949438847089	0.0413218950657055	0.219062832604412	0.112565087678113	0.15575445946824	-0.220944831626417	-0.00262951941193717	-0.628713949250308	0.00856615057325482	-0.376404008335975	-0.118541914183059	-0.198697135871348	-0.189843833809571	0.103949443992944	-0.105911168071722	0.067545088657107	-0.0880430463896237	0.209551013625186	-0.0519972595718987	0.186464831722418	0.0089116647792511	0.252955296197477	0.0582534666116543	0.188784968801534	0.0925943809904338	0.212473863115057	0.0993321823889086	0.0767587314878547	0.177505580262475	0.116365367395181	0.111803315831834	-0.211033511537128
"HMAC011"	"0"	"R"	2.905	11.65	6.545	8.54	3.265	3.15	1.5	0.0025015883249142	-0.560771436735189	0.000114685443185987	-0.295085966552011	-0.121620741654399	-0.187598270448629	-0.265900032939742	0.0410893159630597	-0.103719110346436	0.00607396414365869	-0.164825393667791	0.223184053904094	-0.0725859343634456	0.174688546308621	-0.00743223167606544	0.352130808757658	0.0743687613214715	0.163909286879456	0.174242812571836	0.226190006071819	0.109508221294561	0.00432434504474745	0.257072215334318	0.0395627595030157	0.118275160357592	-0.1876974128403	0.0216337019349159	-0.477033060041771	-0.0177559372926689	-0.459524487755969	-0.247990001408639	-0.300319746588059	-0.299412164650928	0.0685188713874656	-0.0279328513210915	0.0996819483439074	-0.202614186106384	0.181496150255778	-0.0249299773426576	0.140180926362991	-0.0454334327398183	0.35456531759979	0.02977855991833	0.234341497920929	0.216003427265828	0.186463345946135	0.0395699915014377	0.114221210838898	0.249906482270504	-0.0219395749988392	0.246906482643059	0.00327178428295136
"HMAC101"	"1"	"L"	2.855	9.89	5.37	7.915	1.385	2.005	2	-0.00700527266828707	-0.532804403018675	0.000577800356335954	-0.392536491939709	-0.117728378203198	-0.234061141263188	-0.239741842115545	0.096091925267414	-0.0971512842060534	0.02186115023271	-0.0962883379373348	0.228477928054648	-0.0604120186919822	0.200749270706151	0.00136376562373683	0.281411931673427	0.0574831228833113	0.204399510143327	0.0971102103758247	0.233692249820504	0.10022616314678	0.0227083319713247	0.230744234132564	0.088085837185698	0.130821837303849	-0.218076098833633	-0.00600986502357981	-0.588315028604202	-0.000136795917164795	-0.408496822628545	-0.136914485860797	-0.206157208454242	-0.20535734844527	0.119404024881176	-0.104715008998709	0.0683452757373409	-0.0826537139071394	0.209809994584074	-0.0521485523942008	0.190888431303275	-0.0108221474636971	0.245940268124243	0.046572921141284	0.186315660394482	0.0841276466507295	0.212363804897652	0.107700626436874	0.0586903076696203	0.21219517802473	0.106018981127609	0.148161545756941	-0.194807689032483
