Id	ProcCoord1_sh	ProcCoord2_sh	ProcCoord3_sh	ProcCoord4_sh	ProcCoord5_sh	ProcCoord6_sh	ProcCoord7_sh	ProcCoord8_sh	ProcCoord9_sh	ProcCoord10_sh	ProcCoord11_sh	ProcCoord12_sh	ProcCoord13_sh	ProcCoord14_sh	ProcCoord15_sh	ProcCoord16_sh	ProcCoord17_sh	ProcCoord18_sh	ProcCoord19_sh	ProcCoord20_sh	ProcCoord21_sh	ProcCoord22_sh	ProcCoord23_sh	ProcCoord24_sh	ProcCoord25_sh	ProcCoord26_sh
HMAC001_1_sh	0.03792684187471926	0.6125527638903646	0.0036342020424417164	0.3695886489253463	-0.20872598863523012	0.11326977558476396	-0.25643934250519934	-0.07662728345726419	-0.09893999852349064	-0.02352393556174048	-0.11366945639615798	-0.22962959860611243	-0.03237476966558255	-0.16038417604715682	0.028224633341600483	-0.2540513211283407	0.06511985648226469	-0.18447723129361626	0.11601983070481521	-0.21553464098734104	0.09301212843995914	-0.017706519212359263	0.21644312773841723	-0.09305264389722262	0.14976893510144298	0.15957616179067896
HMAC001_2_sh	0.048422989879808365	0.6375659766767169	-0.006100390904732245	0.2996954311614752	-0.10704232291366349	0.15789271080326245	-0.22751099677525868	-0.0908832015632037	-0.10296407338068775	-0.040144059734269676	-0.15628574833488695	-0.25529343779446584	-0.07460843378296828	-0.18333093835527633	0.009098705521380247	-0.3214431345796337	0.060978369297586446	-0.15592055071510447	0.1639663717061271	-0.1859423460103661	0.07583566683408541	0.014555553971236894	0.2130880718882669	-0.03901652851299473	0.10312179096494263	0.16226452465262267
HMAC001_3_sh	0.009399851851376671	0.572987734488821	-0.010571208142372859	0.282491627122904	-0.1020957349426784	0.19969936910929156	-0.25348022429606426	-0.03500259390873025	-0.07676470512708299	0.008313051044097904	-0.16745465840291276	-0.2425216765479415	-0.06859574644571481	-0.18160332591615194	-0.002608700195639902	-0.344585229617057	0.06997033682364834	-0.18544835479572402	0.18293038011609872	-0.24294691616023417	0.07470439021730038	0.023730502459798856	0.2584280554016788	-0.05244317634346482	0.08613796314236417	0.19732898906439156
HMAC001_4_sh	0.033915791977839345	0.6158072560773299	0.01724176036389044	0.32575689534545293	-0.1352009597668856	0.14154150465880136	-0.23247064262252956	-0.06058145326175183	-0.10444449663623438	-0.048512189589879705	-0.15045410505264	-0.22161514175584862	-0.0826665072064049	-0.1892748715271483	-0.009833769638565658	-0.34164604480397603	0.0863507842967343	-0.16271449611937794	0.17023527710891373	-0.18337534374178702	0.09623496929699084	-0.002013784373610589	0.21987814746729992	-0.03533181264436923	0.0912137504115917	0.1619594817361641
HMAC002_1_sh	0.017943859808767063	0.572778650042508	0.0051346362321093054	0.3242538069676513	-0.10368672897930568	0.21031916698844375	-0.2574505332776979	-0.10561501374181036	-0.07817260808841453	0.010587758060086088	-0.11427989556485871	-0.2451282677986793	-0.056110685210347795	-0.20438260558447746	0.00418277608227588	-0.2909828526115604	0.04929191168053193	-0.1937777213283784	0.10413770094527242	-0.23556563910663642	0.07879057631598026	-0.009034356113424617	0.2600886416384801	-0.05319574541700598	0.09013034841720742	0.21974281964328374
HMAC002_2_sh	-0.002679134245672267	0.5989768716190524	-0.011708205332578842	0.2977868154607728	-0.07966829816542198	0.21173624803945967	-0.245146677668638	-0.0763122679500654	-0.08659555400602321	-0.017956614770618853	-0.13509774161237742	-0.205107236921429	-0.06059606853115831	-0.17093214108423813	-0.0020271457466829526	-0.31171658795627766	0.05812184699664766	-0.19312591704729212	0.13462704841721707	-0.2508723617291664	0.09103076625832741	-0.02414893541792063	0.2609669829419447	-0.061350069730174955	0.07877218069441656	0.20302219748789804
HMAC002_3_sh	-0.0303412103884058	0.575326511349737	0.010974345217250867	0.31878627838390383	-0.0690837977222644	0.24238944753790898	-0.2520338785773076	-0.07322351219066824	-0.09567656042553914	-0.01639629272738649	-0.12495059492578309	-0.21674667903192943	-0.05650294320946556	-0.1748313715186891	0.01419924666538663	-0.2950351696530542	0.06302377206000781	-0.20237745270444604	0.10982799749774269	-0.23688795204191643	0.10497370427431886	-0.046313248105678335	0.25368053200361745	-0.10568884709978732	0.07190938753044228	0.23099828780200662
HMAC003_1_sh	-0.022825583399110894	0.5992944872669037	-0.0060348675680295324	0.34535217257213585	-0.1405977944814935	0.21267293227912462	-0.20723666196321128	-0.10442141310291794	-0.09029606442734109	-0.032690538158435575	-0.10965326828373843	-0.2133842680885099	-0.05714061366072692	-0.16274110053223803	-0.007007144956357989	-0.27599498990572685	0.049259148192859904	-0.17651790267699052	0.09525239980430304	-0.2228939899163977	0.08428577440297946	-0.03732997877263179	0.2526491754369198	-0.11533518479812938	0.15934550090294725	0.18398977383381268
HMAC003_2_sh	0.044502257477548185	0.6084612151177928	-0.020803186599848898	0.32372535100969907	-0.15155250051345506	0.18931386326970756	-0.25097130295841624	-0.13329029538326193	-0.0901249887100332	-0.02637045868276907	-0.11315936464005863	-0.2367395316784863	-0.05155366972695133	-0.15530979663703048	0.009916655660379112	-0.28340284637897256	0.060979878114818774	-0.1588572202846541	0.11442447941415748	-0.21079390869023104	0.0790951778725898	-0.0107169417253952	0.23667890113618595	-0.08930188903441902	0.13256766347308457	0.18328245909802002
HMAC003_3_sh	0.006852334707666982	0.6376594765429828	0.007277981593251326	0.3658437367768225	-0.1434527923998729	0.21224255257793204	-0.17903179890396434	-0.15623746223411464	-0.07551953496279265	-0.0628577978067736	-0.0732774895168878	-0.2089910620289268	-0.04197312211675576	-0.17702082627247326	-0.002639525848151695	-0.2474329774069051	0.0369093542265892	-0.17642792959505552	0.0699990674464404	-0.21282019906237343	0.07417053753051114	-0.057455061696671444	0.19441761694472817	-0.13573486028101148	0.1262673712992375	0.21923241048656766
